============================== SRIM-2012.03 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  N(1.02 MeV) ==> Layer 1(  1 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   55  7 .1013218E+07   1000154E-02 -.4427E+02  .4062E+02   .9993663 -.0298907  .0193267
T   56  7 .1013611E+07   1000267E-02 -.6113E+01 -.2293E+02   .9999828 -.0006029 -.0058323
T   57  7 .1010345E+07   1000796E-02 -.2507E+02  .3068E+02   .9999153 -.0111747  .0066717
T   58  7 .1018864E+07   1000590E-02 -.8271E+01 -.1231E+02   .9999959  .0028249  .0004117
T   59  7 .1009191E+07   1000340E-02 -.5388E+02 -.1339E+01   .9999486 -.0098831  .0022779
T   60  7 .1010569E+07   1000455E-02 -.1366E+02 -.1380E+00   .9999948 -.0029594 -.0012947
T   61  7 .1008289E+07   1000491E-02  .2944E+02  .3382E+02   .9999929  .0030447  .0021988
T   62  7 .1013912E+07   1000742E-02 -.9153E+01 -.1249E+02   .9999997 -.0007374 -.0002017
T   63  7 .1011547E+07   1000671E-02  .1093E+02  .3966E+01   .9999943 -.0002127 -.0033666
T   64  7 .1017881E+07   1000054E-02 -.4736E+01 -.1056E+02   .9999980 -.0013628 -.0014462
T   65  7 .1008378E+07   1000660E-02  .1679E+02 -.1616E+01   .9999832  .0035135 -.0046145
T   66  7 .1015527E+07   1000538E-02  .1740E+01  .1916E+01   .9999532  .0045659 -.0085335
T   67  7 .1012165E+07   1000696E-02  .1950E+01  .1219E+02   .9999982 -.0016246 -.0009451
T   68  7 .1012630E+07   1000626E-02 -.1905E+02  .8538E+01   .9999801 -.0056490 -.0028023
T   69  7 .1008298E+07   1000680E-02 -.2331E+02  .1584E+01   .9999912 -.0040925  .0009193
T   70  7 .1013053E+07   1000432E-02  .2406E+02 -.1854E+02   .9999575  .0087770 -.0028341
T   71  7 .1011213E+07   1000566E-02 -.7165E+02  .2724E+02   .9999548 -.0092374  .0022518
T   72  7 .1016572E+07   1000702E-02  .7202E+01  .3693E+01   .9999841  .0049072  .0027624
T   73  7 .1009774E+07   1000571E-02  .1443E+02 -.1220E+02   .9999947  .0021492 -.0024564
T   74  7 .1013682E+07   1000605E-02 -.2410E+02 -.1231E+02   .9999946 -.0027818 -.0017326
T   75  7 .1015843E+07   1000411E-02 -.1175E+02 -.5880E+01   .9999928 -.0036539  .0010238
T   76  7 .1008002E+07   1000536E-02 -.4543E+02  .3478E+01   .9998981 -.0123044 -.0072446
T   77  7 .1010711E+07   1000778E-02 -.2396E+01 -.1074E+02   .9999987 -.0004468 -.0015560
T   78  7 .9976127E+06   1000722E-02  .1357E+03 -.8956E+01   .9908634  .1341449 -.0139617
T   79  7 .1016933E+07   1000639E-02  .1849E+02  .6116E+00   .9999934  .0007664  .0035501
T   80  7 .1009359E+07   1000651E-02  .2614E+02 -.9276E+01   .9999245  .0114041 -.0045861
T   81  7 .1003235E+07   1000176E-02  .5478E+01  .2594E+01   .9999930  .0031931 -.0019613
T   82  7 .1014543E+07   1000744E-02 -.5260E+01 -.2369E+02   .9999915 -.0017457 -.0037275
T   83  7 .1008884E+07   1000295E-02  .2387E+02  .1503E+02   .9998590  .0085751  .0144401
T   84  7 .1007841E+07   1000143E-02  .1107E+02 -.2363E+01   .9999936  .0033104  .0013357
T   85  7 .1009994E+07   1000145E-02  .2523E+00 -.3031E+00   .9999979 -.0020454 -.0003069
T   86  7 .1006479E+07   1000648E-02 -.7617E+01  .9255E+01   .9999844 -.0013514  .0054243
T   87  7 .1009619E+07   1000225E-02  .2476E+02 -.4140E+01   .9998840  .0127830 -.0082803
T   88  7 .1015979E+07   1000479E-02 -.2474E+02 -.7856E+02   .9996845 -.0041698 -.0247689
T   89  7 .1017512E+07   1000353E-02  .1878E+01 -.5961E+01   .9999973  .0020464  .0011272
T   90  7 .1010151E+07   1000288E-02  .1178E+02 -.1978E+02   .9999746  .0024865 -.0066769
T   91  7 .1014004E+07   1000627E-02 -.2669E+02 -.9690E+01   .9999124 -.0112154 -.0070297
T   92  7 .1010585E+07   1000258E-02  .7480E+01 -.2054E+02   .9999933  .0012631 -.0034308
T   93  7 .1014194E+07   1000103E-02 -.1751E+02 -.3375E+02   .9999496 -.0020999 -.0098227
T   94  7 .1012526E+07   1000706E-02  .2598E+02  .1255E+02   .9999336  .0112952  .0022811
T   95  7 .1014117E+07   1000140E-02 -.2205E+02  .3167E+00   .9999924 -.0035041 -.0017252
T   96  7 .1004757E+07   1000546E-02  .2677E+01  .6767E+01   .9999947 -.0032236 -.0005280
T   97  7 .1015203E+07   1000074E-02 -.3510E+02  .8122E+01   .9999327 -.0115923 -.0003563
