============================== SRIM-2012.03 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  N(1.02 MeV) ==> Layer 1(  1 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  692  7 .1013359E+07   1000046E-02  .5241E+01  .9978E+01   .9999845  .0055588 -.0004185
T  693  7 .1005714E+07   1000554E-02 -.1407E+02  .1779E+02   .9999807 -.0039072  .0048397
T  694  7 .1004193E+07   1000223E-02  .2590E+02 -.1433E+01   .9999904  .0040898  .0015908
T  695  7 .1016109E+07   1000655E-02  .3747E+02 -.3501E+02   .9999783  .0057888 -.0031333
T  696  7 .1014994E+07   1000378E-02 -.1106E+02  .5410E+01   .9999994 -.0005953  .0008884
T  697  7 .1013175E+07   1000672E-02 -.2989E+02  .1318E+02   .9999402 -.0083976  .0070020
T  698  7 .1012760E+07   1000613E-02 -.6232E+01 -.1070E+02   .9999966 -.0017259 -.0019303
T  699  7 .1008545E+07   1000575E-02  .3114E+02 -.3460E+02   .9999556  .0066719 -.0066620
T  700  7 .1021068E+07   1000804E-02 -.2709E+02  .4001E+01   .9999890 -.0037807 -.0027648
T  701  7 .1011992E+07   1000598E-02  .1703E+01 -.7146E+01   .9999987 -.0004876  .0015521
T  702  7 .1011686E+07   1000723E-02 -.1060E+01 -.1759E+02   .9999961 -.0005329 -.0027423
T  703  7 .1003846E+07   1000045E-02 -.8881E+01  .9563E+01   .9999855  .0005886  .0053458
T  704  7 .1012466E+07   1000735E-02 -.8063E+01  .1697E+02   .9999901  .0022321  .0038374
T  705  7 .1011840E+07   1000736E-02  .1542E+02  .8406E+01   .9999913  .0015974  .0038623
T  706  7 .1006701E+07   1000511E-02 -.1237E+02  .1703E+01   .9999976 -.0021545  .0003325
T  707  7 .1003307E+07   1000192E-02 -.1135E+02  .3986E+01   .9999954 -.0029469 -.0007670
T  708  7 .1013434E+07   1000463E-02 -.2771E+01  .1136E+01   .9999969 -.0015798 -.0019252
T  709  7 .1013084E+07   1000660E-02  .1965E+01 -.1012E+02   .9999999 -.0000884  .0002986
T  710  7 .1006566E+07   1000705E-02 -.6464E+01  .4178E+00   .9999978  .0004646 -.0020500
T  711  7 .1008422E+07   1000716E-02  .2966E+01 -.1355E+02   .9999800 -.0058881 -.0023052
T  712  7 .1009877E+07   1000557E-02  .7773E+01 -.1185E+02   .9999962 -.0014804 -.0023124
T  713  7 .1004326E+07   1000393E-02  .4860E+01  .2642E+01   .9999972 -.0015514 -.0017899
T  714  7 .1007444E+07   1000402E-02  .4955E+01  .5096E+01   .9999968  .0020701 -.0014373
T  715  7 .1016339E+07   1000277E-02 -.1022E+02 -.1343E+02   .9999920 -.0006939 -.0039392
T  716  7 .1010489E+07   1000667E-02 -.4719E+01  .1226E+02   .9997613 -.0204484  .0076988
T  717  7 .1007540E+07   1000324E-02  .6497E+01  .1501E+02   .9999871  .0026202  .0043589
T  718  7 .1010918E+07   1000128E-02  .8879E+02 -.1053E+02   .9998578  .0168602  .0003979
T  719  7 .1013775E+07   1000007E-02 -.1102E+02  .1577E+02   .9999994 -.0002598  .0010296
T  720  7 .1011330E+07   1000501E-02  .4849E+02 -.2783E+02   .9998584  .0093732 -.0139759
T  721  7 .1004927E+07   1000771E-02 -.2495E+03  .2255E+03   .9986683 -.0385268  .0343119
T  722  7 .1007873E+07   1000797E-02  .6456E+02 -.4518E+01   .9998688  .0160857 -.0019069
T  723  7 .1004658E+07   1000447E-02 -.1817E+02  .1894E+00   .9999908 -.0041972 -.0008556
T  724  7 .1014551E+07   1000766E-02 -.2292E+02  .4305E+02   .9998969 -.0081495  .0118253
T  725  7 .1019630E+07   1000184E-02 -.7286E+01  .3563E+02   .9999813 -.0021935  .0057110
T  726  7 .1017547E+07   1000114E-02 -.8625E+01 -.6645E+01   .9999945 -.0014493 -.0029705
T  727  7 .1007512E+07   1000621E-02 -.9536E+01  .2438E+02   .9999624 -.0036137  .0078780
T  728  7 .1010883E+07   1000271E-02 -.1181E+02  .1293E+02   .9999938 -.0023380  .0026150
T  729  7 .1011743E+07   1000698E-02  .2740E+02 -.2423E+02   .9999552  .0079664 -.0051191
T  730  7 .1012174E+07   1000280E-02 -.3967E+02  .2670E+02   .9999575 -.0073564  .0055569
T  731  7 .1011441E+07   1000275E-02 -.3765E+01 -.4254E+01   .9999891 -.0032478  .0033486
T  732  7 .1008568E+07   1000786E-02 -.1801E+02  .1363E+02   .9999739 -.0030285  .0065535
T  733  7 .1014690E+07   1000118E-02 -.1260E+02  .1322E+01   .9999984 -.0012394  .0012961
T  734  7 .1015217E+07   1000394E-02 -.1345E+02 -.8552E+01   .9999850 -.0034525 -.0042593
T  735  7 .1011543E+07   1000759E-02  .1081E+02  .1956E+00   .9999895  .0008235  .0045032
T  736  7 .1010650E+07   1000768E-02  .2853E+02  .4678E+01   .9999854  .0029590  .0045243
T  737  7 .1003413E+07   1000704E-02  .1168E+02 -.7678E+01   .9999951 -.0003086 -.0031302
T  738  7 .1009285E+07   1000613E-02  .7088E+01  .2472E+02   .9999996  .0008631  .0003767
T  739  7 .1007457E+07   1000270E-02 -.5820E+02 -.4160E+02   .9999471 -.0100289 -.0022949
T  740  7 .1008705E+07   1000616E-02 -.2877E+01  .2107E+02   .9999867  .0008194  .0050865
T  741  7 .1015967E+07   1000624E-02  .9993E+02 -.2024E+02   .9999018  .0139728  .0010875
T  742  7 .1014942E+07   1000777E-02  .3846E+02 -.8769E+01   .9999578  .0091760 -.0004997
T  743  7 .1007597E+07   1000517E-02 -.1047E+02  .2698E+01   .9999980 -.0007336  .0018506
T  744  7 .1005274E+07   1000164E-02 -.1857E+02  .1459E+02   .9999652 -.0080968  .0020254
T  745  7 .1013313E+07   1000585E-02  .3357E+01  .1482E+02   .9999958 -.0011414  .0026581
T  746  7 .1015660E+07   1000579E-02  .1017E+02  .4638E+01   .9999979  .0009072 -.0018229
T  747  7 .1009973E+07   1000759E-02  .1088E+02 -.1320E+02   .9999703  .0075203  .0016854
T  748  7 .1005278E+07   1000743E-02  .3591E+02  .2417E+01   .9998397  .0175357  .0036138
T  749  7 .1005063E+07   1000165E-02 -.1447E+00  .1462E+02   .9999984 -.0006328  .0016685
T  750  7 .1013582E+07   1000661E-02 -.1011E+02  .1128E+02   .9999740 -.0002288  .0072073
T  751  7 .1012599E+07   1000498E-02 -.1150E+01  .9231E+01   .9999999 -.0000623 -.0003715
T  752  7 .1007883E+07   1000441E-02  .1166E+02  .1817E+01   .9999961 -.0011421  .0025660
T  753  7 .1018147E+07   1000337E-02  .1696E+02 -.6835E+01   .9999693  .0050539  .0059870
T  754  7 .1013522E+07   1000695E-02  .5054E+01  .3838E+02   .9999392  .0011703  .0109625
T  755  7 .1008697E+07   1000612E-02 -.2601E+02 -.1461E+02   .9999932  .0031025 -.0019694
T  756  7 .1010357E+07   1000274E-02  .4014E+02  .5239E+01   .9999571  .0091871  .0011861
T  757  7 .1008640E+07   1000234E-02  .2119E+02 -.7302E+01   .9999897  .0043359 -.0013129
T  758  7 .1013596E+07   1000688E-02  .1818E+02  .6729E+02   .9999703  .0018140  .0074857
T  759  7 .1007217E+07   1000736E-02  .2788E+02 -.1781E+02   .9999620  .0079226 -.0036370
T  760  7 .1002326E+07   1000182E-02 -.9185E+02  .9051E+02   .9974423 -.0530914  .0478547
T  761  7 .1007152E+07   1000557E-02  .1903E+02 -.4025E+02   .9999959  .0026839 -.0009940
T  762  7 .1009377E+07   1000402E-02  .2334E+02 -.2476E+01   .9999838  .0050933 -.0025577
T  763  7 .1013361E+07   1000201E-02  .5250E+01 -.2761E+02   .9999684 -.0011410 -.0078722
T  764  7 .1014618E+07   1000501E-02  .4696E+02 -.5244E+01   .9999462  .0095277 -.0040893
T  765  7 .1014115E+07   1000499E-02  .1692E+02  .7559E+01   .9999898  .0025925  .0036904
T  766  7 .1013100E+07   1000322E-02 -.2840E+01  .2477E+02   .9999740 -.0058681  .0041931
T  767  7 .1005091E+07   1000332E-02  .2298E+02  .1667E+01   .9999805  .0060173 -.0016877
T  768  7 .1010860E+07   1000648E-02 -.4637E+01  .1693E+02   .9999918  .0012720  .0038377
T  769  7 .1010889E+07   1000761E-02 -.2250E+02  .9629E+01   .9999826 -.0052173  .0027440
T  770  7 .1012745E+07   1000155E-02 -.2271E+02  .8114E+01   .9999965 -.0024773  .0008971
T  771  7 .1006567E+07   1000796E-02  .5422E+02  .2895E+02   .9999400  .0097710  .0049489
T  772  7 .1013557E+07   1000644E-02 -.1023E+02  .7977E+01   .9999968 -.0016123  .0019640
T  773  7 .1015240E+07   1000757E-02 -.9624E+01  .1404E+02   .9999831  .0028818  .0050468
T  774  7 .1010000E+07   1000534E-02  .4493E+01  .2302E+02   .9999232  .0045462  .0115251
T  775  7 .1010897E+07   1000743E-02 -.8119E+01  .3323E+01   .9999981 -.0003498 -.0019165
T  776  7 .1009449E+07   1000401E-02 -.8869E+01  .1537E+02   .9999987 -.0013771  .0008774
T  777  7 .1017330E+07   1000579E-02 -.6423E+01  .2447E+02   .9999816 -.0005316  .0060423
T  778  7 .1015506E+07   1000105E-02 -.2798E+01  .2776E+02   .9999757  .0066518  .0020960
T  779  7 .1003428E+07   1000231E-02 -.1472E+02  .7258E+00   .9999967 -.0025575  .0002835
T  780  7 .1002520E+07   1000729E-02 -.8918E+01  .9986E+01   .9999976 -.0018032  .0012216
T  781  7 .1006215E+07   1000032E-02  .8135E+01 -.3726E+01   .9999988 -.0000795 -.0015288
T  782  7 .1020130E+07   1000655E-02 -.1385E+01  .6011E+01   .9999997 -.0006117  .0004201
T  783  7 .1012756E+07   1000022E-02 -.8150E+01 -.5775E+01   .9999983 -.0016447  .0007952
T  784  7 .1009684E+07   1000724E-02 -.2651E+02 -.3319E+02   .9999219 -.0100505 -.0074244
T  785  7 .1006679E+07   1000370E-02 -.8537E+01  .8113E+01   .9999920 -.0027757  .0028762
T  786  7 .1008624E+07   1000478E-02 -.8506E+01 -.4511E+02   .9997472 -.0013878 -.0224392
T  787  7 .1009519E+07   1000032E-02 -.6808E+01  .8068E+01   .9999990  .0012181  .0006767
T  788  7 .1014054E+07   1000483E-02 -.3427E+02  .4430E+02   .9997408 -.0151929  .0169587
T  789  7 .1010042E+07   1000777E-02  .1148E+03 -.8195E+02   .9996748  .0222060 -.0125338
T  790  7 .1007389E+07   1000536E-02  .6180E+01  .1161E+02   .9999966  .0014763  .0021581
T  791  7 .9503716E+06   1000143E-02 -.1201E+02  .1106E+03   .9691578 -.0157593  .2459364
T  792  7 .1007776E+07   1000808E-02 -.3357E+01 -.4163E+00   .9999980  .0019100 -.0006124
T  793  7 .1017618E+07   1000525E-02 -.3726E+01  .6617E+01   .9999942 -.0030428  .0015537
T  794  7 .1012970E+07   1000778E-02 -.1814E+02  .6793E+01   .9999908 -.0038939  .0017738
T  795  7 .1003502E+07   1000121E-02  .1118E+02 -.1367E+02   .9999881  .0039536 -.0028472
T  796  7 .1008445E+07   1000691E-02  .1187E+03 -.1025E+03   .9997091  .0183802 -.0156141
T  797  7 .1012849E+07   1000526E-02 -.8395E+01  .6895E+01   .9999967 -.0020792 -.0014993
T  798  7 .1007025E+07   1000422E-02  .3356E+01 -.5060E+02   .9999451 -.0025690 -.0101604
T  799  7 .1010548E+07   1000716E-02  .6242E+00  .1347E+02   .9999990  .0011104  .0008827
T  800  7 .1011827E+07   1000650E-02 -.8045E+01 -.1830E+01   .9999994 -.0003732 -.0010467
T  801  7 .1007318E+07   1000577E-02 -.5377E+02  .2447E+02   .9998332 -.0135658  .0122309
T  802  7 .1012011E+07   1000787E-02  .2523E+01  .1607E+02   .9999922 -.0007923  .0038772
T  803  7 .1011927E+07   1000592E-02 -.6012E+02  .3189E+02   .9999761 -.0065348  .0022426
T  804  7 .1005907E+07   1000458E-02  .7459E+01  .2115E+02   .9999847  .0037230  .0041030
T  805  7 .1000008E+07   1000650E-02  .1939E+02  .1703E+02   .9937867  .1092594  .0212217
T  806  7 .1007899E+07   1000335E-02  .2207E+01  .1493E+02   .9999994 -.0003733  .0010299
T  807  7 .1010301E+07   1000442E-02  .9372E+02 -.7107E+02   .9998001  .0175718 -.0095414
T  808  7 .1010691E+07   1000115E-02  .4369E+01 -.1377E+02   .9999963 -.0006298 -.0026612
T  809  7 .1008127E+07   1000078E-02 -.1816E+02 -.8473E+02   .9993584 -.0037179 -.0356226
T  810  7 .1006779E+07   1000120E-02 -.3493E+02 -.2811E+02   .9999300 -.0107321 -.0049736
T  811  7 .1011344E+07   1000481E-02 -.1008E+02  .9863E+01   .9999978 -.0020345 -.0004711
T  812  7 .1006432E+07   1000746E-02 -.1804E+02 -.1863E+01   .9999987 -.0014027 -.0007807
T  813  7 .1006554E+07   1000632E-02 -.1938E+02  .1580E+02   .9999969 -.0024339  .0004444
T  814  7 .1005697E+07   1000660E-02 -.1997E+02 -.8550E+01   .9999957 -.0027225 -.0011199
T  815  7 .1008502E+07   1000431E-02  .2235E+02  .1518E+02   .9999690  .0078760  .0001324
T  816  7 .1012612E+07   1000168E-02 -.5111E+01 -.1963E+02   .9999876 -.0039157 -.0030648
T  817  7 .9878215E+06   1000019E-02  .7036E+03 -.3350E+03   .9899903  .1267613 -.0620553
T  818  7 .1010393E+07   1000364E-02 -.5126E+01 -.1339E+02   .9999958  .0007131 -.0027938
T  819  7 .1013944E+07   1000459E-02  .4729E+01  .1112E+01   .9999942  .0032393  .0010673
T  820  7 .1004752E+07   1000564E-02 -.4972E+00 -.5877E+01   .9999922  .0027737 -.0028266
T  821  7 .1018768E+07   1000693E-02  .5053E+01  .1702E+01   .9999978 -.0000791 -.0021148
T  822  7 .1013065E+07   1000690E-02 -.5057E+02  .4438E+01   .9999476 -.0101860 -.0010562
T  823  7 .1010274E+07   1000047E-02 -.6850E+01  .7161E+00   .9999909 -.0040978  .0011796
T  824  7 .1012184E+07   1000630E-02 -.1159E+02  .8048E+01   .9999907 -.0042598  .0007396
T  825  7 .1013236E+07   1000603E-02 -.5021E+01  .2456E+02   .9999998 -.0003507  .0004260
T  826  7 .1009948E+07   1000491E-02  .2434E+02 -.2235E+02   .9999899  .0033342 -.0030134
T  827  7 .1012019E+07   1000308E-02  .1252E+02  .1204E+02   .9999900  .0036286  .0026077
T  828  7 .1017822E+07   1000493E-02 -.1512E+02 -.1132E+02   .9999971 -.0007314  .0022958
T  829  7 .1019832E+07   1000430E-02 -.3709E+02  .1740E+02   .9999609 -.0066933  .0057730
T  830  7 .1011024E+07   1000603E-02 -.1390E+02 -.2639E+02   .9999727 -.0011988 -.0072935
T  831  7 .1012649E+07   1000369E-02 -.2597E+02  .2193E+02   .9999831 -.0009379  .0057358
T  832  7 .1015051E+07   1000734E-02  .4360E+02 -.3873E+02   .9999758  .0044310 -.0053706
T  833  7 .1014171E+07   1000734E-02  .2999E+02 -.3582E+01   .9999784  .0064744 -.0011516
T  834  7 .1014894E+07   1000061E-02 -.2644E+02  .5422E+01   .9999834 -.0057665  .0001034
T  835  7 .1014923E+07   1000749E-02  .3521E+02 -.5992E+02   .9999501  .0062981 -.0077550
T  836  7 .1012779E+07   1000528E-02 -.1535E+02  .1435E+02   .9999995 -.0000135  .0009545
T  837  7 .1011932E+07   1000247E-02  .1769E+02  .6924E+02   .9997800  .0038920  .0206109
T  838  7 .1006649E+07   1000035E-02  .9334E+01 -.6585E+01   .9999992  .0009724 -.0007459
T  839  7 .1016002E+07   1000050E-02  .8609E+01  .4932E+01   .9999995 -.0005767  .0008444
T  840  7 .1011162E+07   1000726E-02  .1975E+02  .6372E+01   .9999869  .0041894  .0029555
T  841  7 .1012260E+07   1000573E-02 -.9576E+01 -.4121E+01   .9999992 -.0012709  .0002788
T  842  7 .1013919E+07   1000339E-02  .3081E+02 -.1902E+02   .9999503  .0092941 -.0036028
T  843  7 .1008366E+07   1000806E-02  .1003E+02  .1233E+02   .9999896  .0010858  .0044273
T  844  7 .1009266E+07   1000361E-02  .2425E+02 -.9301E+01   .9999921  .0039604 -.0004057
T  845  7 .1007167E+07   1000680E-02  .7616E+01  .1335E+02   .9999929  .0015189  .0034383
T  846  7 .1013286E+07   1000148E-02  .4036E+02  .8422E+01   .9998958  .0139099  .0038578
T  847  7 .1015209E+07   1000613E-02  .2313E+02  .9459E+00   .9999883  .0032437 -.0035764
T  848  7 .1009113E+07   1000347E-02  .5115E+01  .5519E+01   .9999989  .0013637  .0005063
T  849  7 .1012876E+07   1000262E-02  .2748E+00  .9030E+01   .9999970 -.0023445  .0006677
T  850  7 .1011526E+07   1000055E-02  .1074E+01 -.6171E+01   .9999991 -.0006418  .0011677
T  851  7 .1010876E+07   1000058E-02  .5325E+01  .1219E+02   .9999859 -.0022710  .0047909
T  852  7 .1006265E+07   1000618E-02 -.1575E+01 -.4277E+00   .9999977  .0000735  .0021231
T  853  7 .1005623E+07   1000151E-02  .6395E+02 -.4770E+02   .9999196  .0101755 -.0075707
T  854  7 .1014343E+07   1000038E-02  .2714E+02 -.8690E+00   .9999826 -.0003434 -.0058872
T  855  7 .1011383E+07   1000007E-02 -.1128E+02 -.5797E+01   .9999704 -.0059648 -.0048681
T  856  7 .1008533E+07   1000043E-02  .7727E+01 -.1487E+02   .9999886  .0029912 -.0037126
T  857  7 .1003704E+07   1000413E-02  .3314E+01 -.1720E+02   .9999541  .0080047 -.0052622
T  858  7 .1008138E+07   1000278E-02  .1734E+02 -.3074E+02   .9999764  .0035233 -.0059056
T  859  7 .1006642E+07   1000632E-02 -.3373E+02 -.6912E+01   .9999974 -.0013674  .0018153
T  860  7 .1012549E+07   1000764E-02  .1072E+02  .1397E+02   .9999896  .0024253  .0038602
T  861  7 .1019230E+07   1000465E-02  .1792E+02 -.2650E+02   .9999725  .0034575 -.0065641
T  862  7 .1015642E+07   1000684E-02 -.5342E+02 -.3368E+02   .9999432 -.0095375 -.0047673
T  863  7 .1018246E+07   1000575E-02 -.2377E+02 -.3955E+02   .9999507 -.0064187 -.0075788
T  864  7 .1012246E+07   1000375E-02  .4015E+02  .4077E+02   .9999691  .0072710  .0029844
T  865  7 .1013907E+07   1000545E-02 -.2893E+01 -.1070E+02   .9999966 -.0016834 -.0020033
T  866  7 .1010563E+07   1000000E-02  .5403E+01 -.6883E+01   .9999977 -.0010027 -.0018717
T  867  7 .1009865E+07   1000801E-02  .1471E+02  .2256E+01   .9999874  .0047830  .0015386
T  868  7 .1015302E+07   1000579E-02 -.6746E+01  .3709E+01   .9999756 -.0052419  .0046281
T  869  7 .1009589E+07   1000743E-02  .1378E+02  .1557E+02   .9999957  .0023605 -.0017512
T  870  7 .1014139E+07   1000580E-02  .2804E+02  .4253E+01   .9999891  .0029793 -.0035993
T  871  7 .1020218E+07   1000038E-02  .3994E+01 -.1931E+01   .9999982  .0009509  .0016458
T  872  7 .1009243E+07   1000563E-02  .1114E+02  .1341E+02   .9999876  .0027184  .0041828
T  873  7 .1005766E+07   1000770E-02 -.1028E+02 -.7857E+01   .9998571  .0069521 -.0154074
T  874  7 .1009278E+07   1000349E-02 -.2262E+01  .2542E+02   .9999951 -.0027302  .0015188
T  875  7 .1011842E+07   1000791E-02  .4797E-02  .1246E+02   .9999806 -.0059860  .0017309
T  876  7 .1006206E+07   1000109E-02  .5202E+02 -.3404E+02   .9999321  .0110256 -.0037637
T  877  7 .1013662E+07   1000290E-02  .2479E+02 -.9209E+01   .9999963  .0026717  .0004671
T  878  7 .1002752E+07   1000429E-02 -.7297E+01  .1901E+02   .9999987 -.0015676 -.0002341
T  879  7 .1008156E+07   1000710E-02 -.5826E+01 -.1300E+02   .9999575 -.0022692 -.0089317
T  880  7 .1013978E+07   1000521E-02  .8676E+01 -.9112E+01   .9999978  .0020672 -.0002897
T  881  7 .1005687E+07   1000320E-02  .1765E+01 -.1508E+02   .9999940  .0006569 -.0034128
T  882  7 .1008922E+07   1000558E-02  .1518E+02  .1084E+01   .9999973  .0022961 -.0002621
T  883  7 .1003945E+07   1000700E-02  .1515E+02 -.6775E+01   .9995814  .0115184 -.0265401
T  884  7 .1010104E+07   1000440E-02  .9178E+01 -.2406E+01   .9999817 -.0056553 -.0021381
T  885  7 .1008092E+07   1000170E-02 -.2194E+02  .3483E+02   .9999498 -.0065092  .0076110
T  886  7 .1005011E+07   1000496E-02 -.2528E+01 -.1059E+02   .9999958  .0024548 -.0015263
T  887  7 .1004708E+07   1000164E-02  .9133E+01  .4000E+01   .9999832  .0053485  .0022556
T  888  7 .1013747E+07   1000742E-02 -.3420E+02  .3559E+02   .9999828 -.0028200  .0051387
T  889  7 .1005911E+07   1000150E-02  .4080E+02 -.9922E+01   .9999560  .0092337 -.0016752
T  890  7 .1010041E+07   1000709E-02  .7913E+01 -.1263E+02   .9999822 -.0004185 -.0059516
T  891  7 .1015941E+07   1000793E-02 -.2505E+00  .1840E+02   .9999941  .0009497  .0033113
T  892  7 .1012225E+07   1000577E-02 -.1381E+03  .1770E+02   .9990492 -.0431735  .0060619
T  893  7 .1014527E+07   1000486E-02  .4403E+02 -.6856E+02   .9998300  .0122876 -.0137438
T  894  7 .1013116E+07   1000777E-02 -.2149E+02 -.9930E+01   .9999735 -.0071074 -.0015545
T  895  7 .1010725E+07   1000162E-02  .1234E+02  .1061E+01   .9999941  .0024010 -.0024659
T  896  7 .1015842E+07   1000702E-02  .8607E+01  .1447E+02   .9999790  .0064703  .0002277
T  897  7 .1010534E+07   1000273E-02  .9524E+01 -.8994E+01   .9999965  .0026216 -.0003386
T  898  7 .1015377E+07   1000586E-02  .2996E+02  .6078E-01   .9999756  .0069846 -.0002944
T  899  7 .1011133E+07   1000041E-02  .1380E+02 -.8033E+01   .9999786  .0060006 -.0026093
T  900  7 .1014987E+07   1000397E-02 -.1019E+02  .2445E+01   .9999949  .0006704  .0031187
T  901  7 .1013458E+07   1000580E-02 -.4851E+01  .6362E+01   .9999944 -.0011690  .0031406
T  902  7 .1008255E+07   1000223E-02 -.2678E+02  .8252E+01   .9999591 -.0080645  .0041003
T  903  7 .1005937E+07   1000771E-02 -.9430E+02 -.2913E+02   .9998686 -.0150241 -.0060808
T  904  7 .1010930E+07   1000781E-02 -.1513E+02  .4417E+02   .9995479 -.0141548  .0265266
T  905  7 .1013669E+07   1000440E-02  .1401E+02  .1541E+02   .9999886  .0032143  .0035382
T  906  7 .1010248E+07   1000622E-02  .8737E+01  .1774E+02   .9999969 -.0000496  .0024722
T  907  7 .1009531E+07   1000195E-02  .1108E+02  .1905E+02   .9999957  .0006709  .0028567
T  908  7 .1014388E+07   1000418E-02  .3229E+01 -.1706E+02   .9999878 -.0001504 -.0049407
T  909  7 .1009737E+07   1000504E-02 -.6915E+00 -.3502E+02   .9999982  .0016602  .0008893
T  910  7 .1013815E+07   1000568E-02  .3879E+02  .2549E+02   .9999644  .0077714  .0032772
T  911  7 .1010578E+07   1000519E-02  .1975E+01  .1921E+02   .9999562  .0036979  .0086024
T  912  7 .1007247E+07   1000703E-02 -.2282E+02 -.4165E+01   .9999890 -.0034218  .0032143
T  913  7 .1016545E+07   1000391E-02  .7279E+01  .1043E+02   .9999998 -.0006131  .0000889
T  914  7 .1003181E+07   1000288E-02  .3241E+01 -.3768E+01   .9999873 -.0030919 -.0039687
T  915  7 .1005767E+07   1000693E-02 -.1745E+02 -.6962E+00   .9999835 -.0008762  .0056840
T  916  7 .1015948E+07   1000662E-02  .4974E+00 -.1026E+02   .9999932  .0014453 -.0034057
T  917  7 .1012162E+07   1000737E-02  .8286E+01 -.3229E+02   .9999824 -.0005504 -.0059152
T  918  7 .1014851E+07   1000014E-02  .9396E+01  .4399E+02   .9999492 -.0072476  .0070046
T  919  7 .1009537E+07   1000250E-02 -.9528E+01  .2122E+02   .9999663 -.0047616  .0066882
T  920  7 .1007015E+07   1000257E-02  .9939E+01  .1350E+02   .9999939  .0028436  .0020318
T  921  7 .1006894E+07   1000473E-02 -.1380E+02  .7995E+01   .9999952 -.0006089  .0030358
T  922  7 .1016346E+07   1000629E-02  .1433E+02  .1295E+01   .9998932  .0129725  .0067361
T  923  7 .1015292E+07   1000763E-02  .4905E+01 -.2025E+02   .9999535  .0065319 -.0070971
T  924  7 .1017084E+07   1000695E-02  .1201E+02  .1924E+00   .9999854  .0050090 -.0020333
T  925  7 .1009179E+07   1000762E-02 -.4582E+01 -.4624E+02   .9999121  .0003025 -.0132587
T  926  7 .1017597E+07   1000578E-02 -.5471E+01  .1151E+02   .9999952 -.0014030  .0027675
T  927  7 .1017429E+07   1000750E-02  .2954E+01 -.1693E+02   .9999835 -.0027775 -.0050191
T  928  7 .1007723E+07   1000745E-02  .5095E+01 -.6557E+01   .9999964  .0011722 -.0023966
T  929  7 .1005688E+07   1000136E-02 -.1942E+02  .3956E+02   .9999986  .0016558 -.0000755
T  930  7 .1010437E+07   1000154E-02 -.3855E+02  .1425E+02   .9999694 -.0065782  .0042225
T  931  7 .1014199E+07   1000196E-02  .1237E+02 -.2240E+01   .9999970  .0024194 -.0003216
T  932  7 .1014403E+07   1000463E-02 -.1508E+02  .1857E+02   .9999902 -.0028031  .0034376
T  933  7 .1011684E+07   1000223E-02 -.2006E+02  .1073E+02   .9999220 -.0104450  .0068500
T  934  7 .1012113E+07   1000521E-02 -.2382E+02  .6077E+02   .9999471 -.0043081  .0093396
T  935  7 .1004765E+07   1000146E-02  .3579E+01 -.5165E+01   .9999928  .0034177  .0016516
T  936  7 .1006973E+07   1000769E-02 -.5843E+01 -.1106E+02   .9999856 -.0050614 -.0017612
T  937  7 .1011594E+07   1000116E-02 -.4714E+01 -.1516E-01   .9998593 -.0010757  .0167400
T  938  7 .1017153E+07   1000176E-02  .1494E+02 -.1485E+02   .9999750  .0053534 -.0046121
T  939  7 .1006210E+07   1000363E-02 -.1547E+02  .3615E+02   .9998964  .0143694 -.0007855
T  940  7 .1004774E+07   1000104E-02 -.4415E+02 -.7029E+02   .9988283 -.0264079 -.0405544
T  941  7 .1014852E+07   1000791E-02 -.1501E+02  .4141E+02   .9999711 -.0035431  .0067238
T  942  7 .1005153E+07   1000748E-02 -.1182E+02  .1040E+02   .9999925 -.0031332  .0022774
T  943  7 .1008755E+07   1000132E-02  .2572E+02 -.2028E+02   .9999982  .0011646 -.0014956
T  944  7 .1006083E+07   1000397E-02  .1374E+01 -.2173E+01   .9999951 -.0028187 -.0013602
T  945  7 .1006441E+07   1000408E-02 -.7050E+01  .3332E+01   .9999962 -.0027293  .0004811
T  946  7 .1012048E+07   1000791E-02 -.2060E+02 -.4886E+02   .9999215 -.0023344 -.0123091
T  947  7 .1008076E+07   1000447E-02 -.1232E+02 -.1950E+02   .9999589 -.0060529 -.0067530
T  948  7 .1006186E+07   1000112E-02  .1296E+02 -.1849E+02   .9999865  .0044576 -.0026825
T  949  7 .1006198E+07   1000809E-02  .1224E+02 -.4826E+02   .9999539  .0025607 -.0092578
T  950  7 .1011985E+07   1000504E-02 -.3977E+01  .3298E+01   .9999939  .0019362 -.0028899
T  951  7 .1012331E+07   1000057E-02  .1787E+02  .3261E+02   .9999209  .0046047  .0117052
T  952  7 .1014066E+07   1000526E-02  .4364E+02  .1323E+03   .9997226  .0078748  .0221988
T  953  7 .1013641E+07   1000619E-02  .3158E+02  .6014E+01   .9995726  .0190603  .0221674
